date,price
2019/1/02,115.2099991
2019/1/03,112.9100037
2019/1/04,117.3199997
2019/1/07,118.1500015
2019/1/08,119.8300018
2019/1/09,120.6900024
2019/1/10,121.7900009
2019/1/11,121.4599991
2019/1/14,120.3899994
2019/1/15,121.7300034
2019/1/16,121.6200027
2019/1/17,122.1900024
2019/1/18,123.8199997
2019/1/22,122.5199966
2019/1/23,132.8899994
2019/1/24,132.5299988
2019/1/25,133.9700012
2019/1/28,134.2700043
2019/1/29,134.3300018
2019/1/30,134.3800049
2019/1/31,134.4199982
2019/2/01,134.1000061
2019/2/04,135.1900024
2019/2/05,135.5500031
2019/2/06,136.3200073
2019/2/07,133.1900024
2019/2/08,133.7100067
2019/2/11,133.9900055
2019/2/12,136.0500031
2019/2/13,137.5200043
2019/2/14,136.4799957
2019/2/15,138.0299988
2019/2/19,138.6999969
2019/2/20,138
2019/2/21,137.8399963
2019/2/22,139.25
2019/2/25,139.4600067
2019/2/26,139.7200012
2019/2/27,139.1699982
2019/2/28,138.1300049
2019/3/01,139.1999969
